Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Italy,MtCO2e,456.75,454.34,451.12,444.81,439.52,464.51,460.76,464.54,475.84,483.07,488.00,485.95,494.23,512.77,523.88,525.16,512.76,506.06,491.14,442.26,450.75,439.93,422.08,390.27,370.58,381.49,398.64,393.01,386.78
Vietnam,MtCO2e,1.17,4.03,6.54,13.23,18.85,25.03,32.87,40.65,51.84,55.08,63.11,157.92,174.91,180.26,198.37,207.64,213.22,227.29,237.99,259.62,277.74,235.82,236.38,248.78,261.78,305.32,330.21,328.33,364.43
France,MtCO2e,477.92,502.72,487.97,469.18,463.44,472.18,490.93,480.98,497.02,486.59,483.67,447.09,439.49,444.36,441.98,442.64,432.32,425.14,418.88,400.59,404.32,392.42,395.28,396.16,363.05,369.04,368.04,370.47,361.37
Nigeria,MtCO2e,249.87,260.06,272.23,272.12,270.78,265.37,276.14,266.82,258.68,249.74,247.07,248.44,252.94,260.59,264.22,281.19,276.10,274.16,277.10,258.87,281.15,299.26,303.64,318.11,327.77,323.23,330.64,337.40,357.52
Poland,MtCO2e,429.16,424.94,414.15,413.64,408.95,408.44,423.05,412.81,382.95,372.24,358.79,300.69,292.88,304.75,309.02,310.64,324.47,324.46,318.18,302.33,320.30,360.67,353.70,348.35,335.26,339.15,344.31,357.17,356.74
Egypt,MtCO2e,129.43,135.07,140.18,142.45,138.13,147.11,154.53,163.95,170.77,179.61,180.91,193.53,198.41,202.70,215.91,233.90,244.52,259.61,268.73,274.79,276.27,284.10,294.89,292.15,298.19,307.26,315.96,320.55,329.40
Spain,MtCO2e,232.63,238.82,248.65,233.85,246.79,260.70,254.16,275.71,285.23,309.99,327.40,348.65,365.39,374.51,390.66,405.41,399.28,415.54,382.32,345.50,330.31,340.98,334.71,308.62,307.09,317.67,301.97,318.35,313.06
Venezuela,MtCO2e,325.64,327.42,331.42,337.76,340.51,349.03,363.45,370.45,370.61,365.07,374.82,318.43,325.00,318.62,321.04,335.90,328.29,332.82,344.66,345.38,348.48,368.02,387.66,392.76,394.20,379.78,301.07,286.63,277.26
Kazakhstan,MtCO2e,308.25,318.28,319.10,277.48,252.51,220.83,192.78,164.97,164.26,148.12,147.35,147.08,164.14,175.32,192.35,204.78,226.14,234.21,280.62,249.71,275.78,284.28,284.28,297.58,248.23,249.48,271.53,280.59,271.23
Colombia,MtCO2e,217.08,218.85,222.51,226.53,228.62,231.69,232.23,237.26,239.00,228.71,233.07,222.71,221.71,223.94,226.33,228.35,229.66,235.52,236.44,240.51,244.95,223.50,221.94,228.65,232.02,233.78,264.21,260.61,267.95
United Arab Emirates,MtCO2e,69.71,76.25,74.82,77.76,84.37,90.78,96.09,103.86,108.39,112.69,113.34,127.37,131.60,139.31,148.02,156.70,162.95,174.27,199.89,202.08,208.58,214.63,226.57,237.63,240.02,252.85,259.65,269.82,263.24
Ukraine,MtCO2e,873.70,828.09,735.92,646.85,551.55,521.01,459.23,434.81,406.96,403.27,385.01,408.37,411.04,441.53,406.48,387.71,393.04,401.26,387.22,327.37,345.37,376.94,364.85,353.90,317.98,265.08,277.97,251.96,262.43
Philippines,MtCO2e,98.21,98.27,100.41,105.92,113.69,125.88,134.83,143.44,137.30,142.90,144.82,144.28,145.99,149.12,152.88,154.20,147.22,152.77,155.97,157.97,163.75,165.75,170.90,182.28,190.12,199.22,212.04,228.35,234.82
Uzbekistan,MtCO2e,197.93,200.66,190.34,222.25,199.69,190.94,193.36,187.84,198.82,205.67,225.43,218.92,222.74,217.72,220.20,217.26,240.12,238.10,247.58,221.36,226.78,239.23,227.25,229.83,222.96,219.73,227.54,231.55,232.14
Myanmar,MtCO2e,207.89,207.34,209.89,212.57,215.09,218.20,215.90,213.58,219.89,225.41,222.18,201.58,200.33,212.14,225.17,216.56,221.14,230.26,217.36,227.49,232.44,202.70,211.26,213.95,221.49,227.79,221.28,229.98,231.62
Bangladesh,MtCO2e,115.06,115.24,117.14,118.35,120.80,125.86,126.39,128.66,128.46,132.37,134.54,139.71,143.03,144.67,146.24,150.91,156.42,159.06,167.36,171.06,178.50,183.76,187.33,190.85,195.62,204.52,205.26,214.18,220.75
Algeria,MtCO2e,95.67,94.54,94.16,101.70,99.45,103.66,104.99,109.08,114.42,120.40,127.36,122.31,129.57,135.37,139.19,144.67,150.18,157.43,160.67,170.49,171.63,179.41,189.38,193.39,203.53,211.46,210.03,212.33,219.11
Iraq,MtCO2e,78.65,58.30,80.01,103.01,114.03,110.00,111.75,130.30,96.75,80.16,90.52,102.09,97.81,86.92,90.93,105.09,101.32,95.48,104.97,128.25,141.36,153.68,175.68,186.98,193.77,185.86,197.79,201.29,216.19
Ethiopia,MtCO2e,94.10,95.87,98.40,93.88,96.28,98.44,102.16,107.08,113.73,115.50,112.72,119.19,128.94,127.60,129.96,133.69,138.98,149.46,154.15,158.63,163.85,166.05,173.67,180.17,188.21,193.58,199.92,203.35,204.67
Peru,MtCO2e,103.85,102.62,103.48,104.65,107.18,111.96,115.54,116.84,117.11,121.44,122.09,125.32,127.36,127.30,131.65,133.19,132.80,136.81,141.47,145.59,149.77,177.04,177.42,178.81,182.20,183.85,187.96,185.87,186.18
Netherlands,MtCO2e,205.44,210.79,210.18,215.69,215.43,220.82,231.75,222.95,223.08,210.62,208.55,209.35,208.85,208.78,210.34,204.70,200.03,199.91,197.69,192.44,203.24,190.26,188.48,188.06,180.75,189.70,189.52,185.91,179.99
Tanzania,MtCO2e,102.75,103.00,103.00,103.00,104.00,108.00,101.00,101.00,105.00,104.74,102.02,107.46,113.58,122.55,122.48,128.97,124.27,127.09,130.35,133.03,136.69,140.84,148.15,152.42,155.92,164.65,176.81,175.49,175.57
Sudan,MtCO2e,73.23,74.13,77.76,79.70,84.18,85.38,89.75,97.46,104.16,107.80,107.06,95.03,100.32,103.26,105.75,110.72,109.78,115.25,116.38,118.35,116.64,116.09,120.84,121.16,122.35,125.99,130.01,129.91,130.64
Bolivia,MtCO2e,104.98,105.78,107.60,109.37,111.44,111.02,111.71,112.74,113.75,119.22,109.82,89.29,95.21,92.79,104.92,100.75,102.56,107.32,102.42,101.39,122.67,111.42,111.80,111.88,112.39,115.51,126.36,125.32,126.21
Turkmenistan,MtCO2e,79.18,69.95,56.19,53.18,57.44,59.38,56.92,57.69,59.91,66.86,69.80,72.84,77.22,84.38,88.86,89.34,89.75,94.27,94.40,86.13,91.90,101.66,108.94,114.27,119.77,126.15,125.94,125.62,125.08
Angola,MtCO2e,65.18,65.85,66.17,66.96,67.10,71.47,73.33,71.74,79.62,77.65,73.29,95.49,100.57,111.24,114.92,115.14,114.99,121.86,123.39,128.34,133.35,133.54,133.21,135.41,136.50,139.09,138.85,137.32,124.59
