Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Qatar,MtCO2e,0.35,0.27,0.32,0.31,0.42,0.43,0.56,0.63,0.57,0.54,0.57,1.03,2.24,1.90,1.08,1.45,1.87,2.37,2.73,3.26,3.61,4.59,6.13,6.34,4.00,3.85,5.48,8.76,9.12
Malaysia,MtCO2e,1.80,2.01,2.07,2.30,3.14,3.31,3.80,3.99,5.32,4.74,4.47,4.71,4.56,4.67,5.20,5.01,5.43,5.38,5.26,5.22,5.89,6.76,6.44,8.65,8.60,8.83,8.10,9.24,9.10
Oman,MtCO2e,1.01,0.88,0.59,1.38,0.60,0.55,0.57,0.64,0.70,0.75,0.85,0.96,1.25,1.26,0.73,0.81,1.06,0.99,4.99,3.77,4.75,3.00,3.76,3.98,5.01,5.36,5.81,3.97,8.64
Sweden,MtCO2e,3.20,3.60,4.01,4.56,5.12,5.11,5.32,6.02,6.88,6.87,6.41,6.55,5.42,6.68,7.93,8.07,8.62,8.56,8.85,8.90,8.32,7.71,7.50,7.47,7.63,7.97,8.79,10.07,8.58
Malta,MtCO2e,0.31,0.37,0.40,0.34,0.34,0.36,0.27,0.62,0.32,0.32,2.46,2.59,2.63,3.16,3.43,2.37,2.67,2.98,3.21,3.88,4.96,4.60,4.10,4.10,4.24,5.28,6.00,7.14,7.56
Portugal,MtCO2e,3.31,3.40,3.45,3.10,3.05,3.09,3.13,3.17,2.90,3.73,4.04,3.37,3.34,3.79,4.19,4.01,4.32,4.12,4.31,3.98,4.11,4.54,4.71,4.87,4.84,5.19,5.89,6.33,6.68
Iran,MtCO2e,2.87,3.31,3.36,3.61,3.93,4.05,4.31,4.76,4.70,4.75,5.10,5.17,5.11,5.24,5.40,5.71,6.32,6.62,8.16,10.11,11.23,10.67,7.48,11.03,12.97,16.70,8.52,6.50,6.43
Kuwait,MtCO2e,1.08,0.44,2.22,2.06,2.75,2.98,2.94,3.32,3.38,3.24,2.60,2.49,3.08,4.50,4.24,4.01,4.31,4.97,5.34,3.64,3.96,5.48,5.48,5.51,5.90,6.23,5.78,5.93,5.92
Indonesia,MtCO2e,2.67,1.65,1.73,1.75,1.71,2.46,1.52,2.17,2.06,1.62,1.57,1.53,1.65,2.25,1.87,2.77,2.92,3.07,3.25,3.43,4.31,4.24,4.48,4.74,4.79,4.89,5.31,5.66,5.77
Argentina,MtCO2e,3.59,2.74,3.09,2.64,2.85,3.52,4.24,4.35,4.08,4.10,3.73,4.22,3.85,4.07,3.94,4.56,4.58,5.17,5.54,5.45,6.56,7.12,8.26,8.46,7.74,5.72,5.12,5.63,5.63
